short_description,category_list
"The Marketing Group Plc offers brand activation campaigns, digital e-commerce solutions, social media campaigns, and content creation.","Advertising,Digital Media,E-Commerce,Marketing"
Santa Clara County Dental Society,"Association,Health Care,Non Profit"
Onebite is an app that helps people decide what to eat based on user ratings for individual food dishes.,"Apps,Food and Beverage,Mobile Apps"
CleverSEO ist keine klassische Online Marketing Agentur - wir sind spezialisierte SEO-Experten & Webdesigner.,"Marketing,SEO,Web Design"
"Wind power is a smart, sustainable, and water-conserving way to produce energy that reduces our dependence on fossil fuels.","Energy,Renewable Energy,Wind Energy"
Association of Alumni of gpcb,Association
On-demand mental health support for new moms.,"E-Commerce,Health Care,Millennials,Psychology,Subscription Service,Therapeutics,Wellness"
To improve the lives of the urban poor in developing countries by strengthening the capacity of service.,"Association,Water"
dogetipbot offers a platform that enables its users to tip for online services which can be redeemed for currencies.,"Bitcoin,Cryptocurrency,Finance,FinTech,Internet,Mobile Payments,Payments,Software,Virtual Currency"
See what others paid for solar. Get a free instant estimate and discover more savings through our network of Certified Installers.  ,Solar
The Code Cooperative teaches formerly incarcerated and justice-involved people digital literacy and coding as a means of liberation.,Software
7N is an elite IT consulting company with 30 years'äó† market experience in complex system development.,Consulting
SahneBurada.com is a human resources website that meets the need of art-oriented institutions.,Classifieds
health management relates to a diagnostic system development and import and export sales of health equipment,Manufacturing
Jabbersmack.com enables safer social connections and sharing for kids under 13 years.,"Children,E-Commerce,Social Network"
Skooligo is a platform to launch and find face-to-face courses in your vicinity.,Education
Grove Place Surgery Center is providing quality healthcare services.,"Health Care,Medical"
Reger Rizzo & Darnall LLP is a law firm operating across Pennsylvania.,Consulting
Achieve your goals through crowd activation,Internet
"SLV Group Security provides security services, electronic surveillance, event security/management and security consulting services.",Security
The Innovation Modelmakers (TIM) is a leading provider of custom prototyping and manufacturing services for designers and engineers,"Manufacturing,Product Design"
ConnectwithCoaches is a web-based platform that allows student athletes to market themselves for college scholarships.,"Education,Internet,Sports"
Airtame is the most user-friendly wireless HDMI streaming solution for schools and businesses.,"Cloud Management,Hardware,Software,Wireless"
TCM provides enterprise performance management and business intelligence solutions.,Software
Jijoty Inc is a fast application construction on both mobile and web platforms hosted in the cloud.,"Android,Internet,iOS,Mobile,Software"
40 PLUS Years of Excellent Service,"Automotive,Janitorial Service,Medical,Professional Services"
Blast Your Car is an inventory acquisition tool for dealers in the automotive industry.,Automotive
A  comprehensive aviation tracking and reporting system ,"Aerospace,Commercial"
The Shelby Group is a management consulting firm based in Illinois.,"Consulting,Information Technology"
Intrum Justitia is Europeäó»s Credit Management Services group and offers services designed to measurably improve clientsäó» cash flow.,Financial Services
"Veezeon offers solutions in computer vision, image recognition, and business intelligence.","Apps,Art,Image Recognition,Software"
Tangled Little Dragon,
Developer of mobile educational apps,Mobile
"Luminary Media is a media production company offering tourism, travel guides, and marketing content.","Digital Media,Film Production,Media and Entertainment,Publishing"
"XPV is comprised of experienced water entrepreneurs, operators, and investment professionals dedicated to making a difference in water.",Financial Services
"Kansoly runs telco RFPs and reverse auctions for voice, mobile and data","E-Commerce,Information Technology,Online Auctions,Procurement,Telecommunications"
Seven Seas Computers is design and deliver ICT solutions which bring tangible business value to our customers.,Information Technology
"Seed and early stage investments by Nordic games entrepreneurs in games, game services, games tech in the Nordic countries.",
"Wunderbear is a mobile software development company based in Auckland, New Zealand. We have three apps.","Apps,iOS,Mobile,Software"
Agbotic is deploys intelligent automation to make the world's best food on the world's most ecological farms.,"Agriculture,Food and Beverage"
No. 1 in Rear View mirrors,
Vet-AI is developing ground-breaking technologies that aim to prevent and predict conditions developing in animals.,"Artificial Intelligence,Machine Learning,Medical,Mobile Apps,Veterinary"
South Africa is at a critical juncture äóñ the need to drive economic growth and job creation is imperative.,
Start up software company revolutionising the entertainment industry.,"Content,CRM,Social Media"
"Minder is a technology firm specializing in cognitive science, artificial intelligence and machine training related to software","Artificial Intelligence,Machine Learning,Training"
Neopay Compliance consultancy that specialises in helping your payment or e-money business develop.,"Finance,Financial Services"
"Jibe Mobile, the Cloud Communications Company for Mobile Operators, provides an open end-to-end technology platform for IP Communications","File Sharing,Messaging,Mobile,Social Media"
 Dolfinos develops ergonomic chin and shoulder rests for violinists.,Music
Linkraven Ltd. Linkraven was formed in 1989 and published Commercial Aviation Report and Commercial Aviation Value Report.,Publishing
"ZimtDesign provides web development, design and online marketing services.","Web Design,Web Development,Marketing"
TypeWonder creates web fonts to be used on websites.,Developer Tools
Seegno is a software development company that helps businesses develop online and mobile applications.,"Software,Web Design,Web Development"
Lead Generation Company For Your Business,"Advertising,Information Technology"
Established to promote investor confidence in the securities and capital markets by providing more structure and government oversight.,"Financial Services,Government,Security"
Prosperity boost for unbanked,Information Technology
OGD2 Pharma publishes new data on glioblastoma antibody therapy.,Biotechnology
Subscription Payments made Social,"E-Commerce,FinTech,Internet,Mobile"
Carsablanca is operates an online community for old car lovers where they can exchange photos or up-load videos.,Internet
Technology Consulting,Consulting
Eco Friendly Natural Things for a cleaner planet,"E-Commerce,Food and Beverage"
Long Game is the mobile personal finance app that uses games with cash prizes to help users win the savings game.,"Finance,Financial Services,FinTech"
Customer success for the messaging generation,"Artificial Intelligence,Information Technology,Messaging"
Future Supply Chain Solutions is an IT enabled end- to- end Supply Chain and Logistics company.,"E-Commerce,Logistics,Supply Chain Management"
Small Angel Fund,
Cubiez offers a solution that brings users' web apps to an interface on their desktop.,"Logistics,Software,Web Development"
Ocular Sciences is a biotech company reducing dry eye and inflammation through post-operative care.,"Biotechnology,Health Care,Medical"
"Vextras helps online retailers drive sales, help customers & automate tasks","E-Commerce,Marketing Automation,Web Development"
Germany-based earthTV is an international digital content distribution and technology company,"Broadcasting,Digital Media,TV Production"
Hyperion Wealth Management is a registered investment advisor with the state of Florida.,Consulting
MegaGigaOmniCorp is a company that specializes in gaming and technology.,"Gaming,Information Technology"
Job Portal,"Consulting,Delivery,Education,Government,Human Resources,Internet,Internet of Things"
IconMedialab is a Consulting company.,"Consulting,Internet"
"Octobox is a web app that helps people collect images, bookmarks, and notes in a single place.","Apps,Software"
"Reviews of PC, console, mobile and board games.","iOS,Video Games,Virtual Reality"
De webshop voor hobby & vrije tijd,Fashion
"Syn. Exceeded the service frame of ever more, it is intended to pursue the connection-fusion and convenient.",
"LogoPaint supplies 3D Signs, displaying sponsor logos in high impact format using patented technology.","Industrial,Industrial Engineering"
"Gopooja is an online store for women's unique handmade Jewelry & Accessories in New York, USA.","E-Commerce,Fashion,Lifestyle"
OMI Jewelry offers luxury watches and custom jewelry for men and women.,"E-Commerce,Jewelry"
Creative Data Products is a company providing plastic promotional item printing.,"Advertising,E-Commerce,Manufacturing"
Ihre Online-Druckerei DruckDiscount24.de.,"E-Commerce,Internet"
"We sell lightly damaged, repairable, high grade vehicles at all IAA branches",Automotive
Howard Johnson & company is a Consulting company.,Consulting
Freexi.com is a Russian company that offers taxi cab services.,"Automotive,Information Technology,Logistics,Social Media,Travel"
"Starly - The first dating based on Astrology! A matching system with owned algorithm, a website and mobile application.","Apps,E-Commerce,Lifestyle"
dotPhoto is an online retailer and vendor of a web-to-wireless platform that shares and sells photos and custom-printed gifts.,"E-Commerce,Internet"
Programista publishes a magazine for programmers and IT team leaders.,"Information Technology,Printing,Publishing"
"HBL Power Systems Ltd is a listed Indian company, in business since 1977, with a focus on engineered products and services.","Electronics,Manufacturing"
NuMSP is a nationwide Managed Services Provider dedicated to offering a comprehensive IT and security service solution for the SMB market. ,"Information Services,Information Technology,Security"
Moove80 offers tools and services to manage brands in digital media platforms.,"Brand Marketing,Content,Creative Agency,Digital Media,Internet"
Geologic Resource Partners LLC is a privately owned hedge fund sponsor.,Financial Services
Fiber Optic Equipment & Supplies,E-Commerce
G I Therapies develops an innovative non-invasive medical device for the treatment of chronic constipation (CC) in adults and children.,"Biotechnology,Health Care,Medical,Medical Device,Wellness"
A multinational company with vast domain experience and proven expertise in payments with innovative Solutions & Technologies.,"Information Technology,Payments,Software"
Simply the best way to preserve your past. Send in your KODAK Digitizing Box filled with old home movies to be converted to digital.,"E-Commerce,Social Media,Software"
Charket develops a software platform for WeChat and Salesforce.,"Business Intelligence,Information Technology,Internet,Sales Automation,Software"
El estudio de arquitectura creativa.,"Architecture,Construction,Consulting,Project Management"
Baihe Jiayuan Network Group provides internet information services. ,"Internet,Service Industry,Social Media"
Celestrius develops high-performance wireless semiconductor solutions. ,Semiconductor
The Beyond War Foundation is a global organization seeking to bring an end to warfare.,"Government,Non Profit,Public Safety"
"Discover, Plan, and Organize your social life with GUGO.","Apps,Private Social Networking,Publishing,Social Media"
Club Staffing is a staffing and recruiting company offering allied health staffing.,"Fitness,Health Care,Medical,Staffing Agency"
Macopharma creates quality innovative blood products and bio-sourced therapies for patients.,"Medical Device,Health Care,Pharmaceutical"
Leading Software and Web Development Company in Bangladesh,"Mobile,Software,Web Development"
InMentia's Hilbert EngineTM is arguably the most significant advance in database technology since the advent of the relational database.,Information Technology
"An eco-friendly, high-speed, liquid concentrate SR support remover with significant benefits; speed, ease of production, safety.",3D Printing
"Robert Roberts is engaged in roasting, blending, marketing, distributing, and selling coffee and tea.","Food and Beverage,Food Processing"
Loopcam is an application that enables users to capture memorable moments in neat animations.,"Mobile,Photography,Video"
Aulas AMiGAS provides affordable educational media solutions for less fortunate students.,"Digital Media,EdTech,Education,Edutainment,Media and Entertainment"
Agendor is a CRM and sales management platform that acts as a personal assistant to salespeople.,"Cloud Computing,CRM,SaaS"
HT2 Labs is the R&D Company for Workplace Digital Learning,"Big Data,E-Learning,EdTech,Education"
Developer of an enterprise software designed to aggregate and access information from across multiple sources.,"Information Technology,Internet,Software"
Principal Investors Group  ,Real Estate
"MADE is a design and marketing agency supplying branding, print and digital design services.","Advertising,Marketing,Web Design"
Swapmeet is a new exciting Marketplace where you can buy and sell just about anything.,E-Commerce
SustainAbility are a think tank and strategic advisory firm working to catalyze business leadership on sustainability.,"Consulting,Legal"
Platform,"Information Technology,Software"
SecurityForums.com,"Cyber Security,Online Portals,Security"
Remote diagnostics for smartphones,Mobile
"An Austin, Texas company that acquires mineral and royalty interests in oil rich basins in the U.S.","Energy,Oil and Gas"
Roemer Originals is specialize in custom designed jewelry with patented features.,Retail
Entire Health Records,Health Care
Jasminesoft is a RAD tool vendor whose primary product is äóìWagbyäóù. Merely from system design spec sheets.,Information Technology
Personal Photo Management Service,Photography
Glasses Galore provides users with the availability to make appointments and purchase eye wear.,"E-Commerce,Health Care"
Hassanesco is one of the pioneering companies in the field of residential and commercial construction.,"Construction,Commercial Real Estate,Real Estate"
"Indemand Web Solutions is a marketing company that specializes in website design & technology solutions, internet marketing.","Software,Internet,Marketing"
"Ultracomms has been providing inbound, outbound and blended services for over a decade. ",Information Technology
"MGSI is provide governance, risk management and compliance advisory services.","Consulting,Information Technology"
dsignz media is an Indian web design and development company that provides digital solutions to improve marketing services.,"Advertising,Internet,Online Portals,Robotics,Web Design,Web Development"
Speedy Castillo is a removable rim cover that improves aerodynamics and speed on road bicycles.,Lifestyle
TheKabadiwala works on waste management and organizing the waste sector.,Communities
"Chamberlain College of Nursing, Addison is a school in Addison.",
Super U is a company that provides discount consumer goods for customers.,"Internet,Video"
HP Sangha Top SEO firm In India which generate Million doller revenue for thier clients,"Consulting,Legal,Marketing"
The Merchants National Bank provides banking products and services.,"Banking,Financial Services"
Social Media for Aftermarket Lifestyle,"Automotive,Lifestyle,Social Media"
HTI High Tech Industries AG is a technology group specializing in aluminum die casting.,"Chemical,Chemical Engineering,Industrial Engineering"
"Amonix, a solar power system developer, manufactures concentrated photovoltaic commercial solar power systems forŒætropical climates.","CleanTech,Manufacturing,Solar"
Winteria reliable methods for quality assurance of welded components.,Mechanical Engineering
"Unix Surplus is a provider of new and refurbished custom-built servers, storage solutions and computer equipment.","Electronics,Hardware,Professional Services"
Worldwide ETS provides Chauffeured Transportation with Reliable Chauffeurs. The Leading Chauffeured Services Company in The Netherlands.,"Automotive,Logistics"
"InsureandGo is offer you a policy whatever your age, consider any medical conditions you might have.","Insurance,InsurTech,Travel"
Online Assignment Writing Service in Australia,"E-Commerce,Education,Internet"
Phonebloks encourages the development and production of products that produce less electronic waste.,"Consumer Electronics,Mobile"
Chunshuitang is an O2O adult e-commerce brand.,"E-Commerce,Fashion"
Unlimited blog content for your startup or agency,NULL
"Data Insight help clients use the power of customer data, data strategy and analytics to create value.",Information Technology
SIB InfoTech is a web development company specializing in promoting search engine optimization and online marketing for their clients.,"Search Engine,SEO,Web Design,Web Hosting"
Wendy's is a worldwide franchise of fast food.,Restaurants
Brenco is a renewable energy company that implements industrial plants to produce ethanol and electricity from sugar cane.,"Clean Energy,CleanTech,Industrial,Renewable Energy"
Digital Economy and Media Database,"Advertising,News,Publishing,Software"
Touch Clarity is a content targeting software company.,"Advertising,Analytics,Content Marketing,Data Mining,Machine Learning,Software"
At mixd.tv they are dedicated to let users find Online Video Data that matters to them.,"Digital Entertainment,Internet,Messaging,TV,Video"
Empowering young innovators to change the world.,"E-Commerce,E-Learning,Education"
Megasoft is a  mobile network services  wave of globalization.,"Information Technology,Mobile Devices"
GreenSand Corporation plans to recover a residual industrial copper-containing mineral waste called stamp sand.,Manufacturing
eturn provides secure synchronization with popular personal information.,"Personal Development,Personalization,Security"
FH Web Solutions specialise in working with businesses to enhance their web presence.,"Internet,Information Services,Information Technology"
Uplevo - Instant design for Brand and Communication,"Advertising,Consulting,Software,Web Browsers,Web Design,Web Development"
Korrun is a manufacturer of bags and suitcases.,"E-Commerce,Manufacturing"
StarTech.com operates as a manufacturer of hard-to-find connectivity parts.,"Computer,Hardware,Information Services,Information Technology,Manufacturing"
Stagecoach Group is a leading international public transport company with bus and rail operations.,"Railroad,Transportation"
Posify  is an omni-channel retail management cloud platform.,"Retail,Software"
Holiday rentals and apartments,"Real Estate,Travel"
DYC is dedicated to re-energizing fundraising efforts for non-profit organizations through our secure web-based roundup giving app. ,"Association,Financial Services,Non Profit,Software"
SRCI specializes in the development of automation solutions to secure documents electronically.,"Computer,Software,Document Management"
"SoundBible offers thousands of free sound effects, sound clips, and straight up sounds.","Music,Audio,Media and Entertainment"
Spartan Exploration Ltd. is based in Canada.,Mining
UVISION provides high quality R&D solutions for web & mobile,"Analytics,Big Data,Business Intelligence,Cloud Computing,Health Care,Internet of Things,Mobile Apps,SaaS,Web Development"
"Integra Electrical Contractors provides premium electrical installation and refurbishment services, located in Scarborough.","Commercial,Construction,Electrical Distribution"
Babington Group is a national training and apprenticeships provider.,"Accounting,Advice,Customer Service,Education,Finance"
CP Communications is a broadcast media company offering aerial video and communication services.,"Advertising,Broadcasting,Telecommunications,Video"
Organimi offers cloud-based tools that enable its users to create and update organizational charts in real time.,"Cloud Computing,Enterprise Software,Human Resources,Mobile,SaaS,Software"
"Assura designs, builds, invests in and manages GP surgery buildings and primary care premises.","Health Care,Real Estate,Real Estate Investment"
Network Integrity Systems  is a Developer of network infrastructure security products company.,Information Technology
Synergy Property Solutions provides quality homes and commercial buildings for rent throughout the area.,"Construction,Real Estate"
"Mero Mole are strategic consultants, the top dogs in the hospitality industry dedicated to evolving customer experience.","Consulting,Hospitality,Information Technology"
College Dating and Social Networking,Web Hosting
We help people facilitate the building of ADUs in Hawaii,"Communities,Health Care,Real Estate"
Management Consulting | Web products and Media,"Consulting,Internet,Product Design"
MillerTech is a market leader in supplying Membership and CRM systems to the Not for Profit (NFP) sector.,"Information Technology,Non Profit,Software"
Conference Service Provider,"Public Relations,Semantic Web,Video Conferencing"
Tierheimwissen provides shelters and animal protection services in Germany. Focusing on animal care above all things.,Animal Feed
Texas Mattress Makers is a mattresses manufacturing company.,"Retail,Manufacturing,Wholesale"
"Global Technologies is an authorized dealer of Anatomy Models, Biology Supplies, Botany Models, CPR Manikins, Medical Simulators, and More",Health Care
Product Factory supply contractor grade lawn maintenance products to landscapers.,"Manufacturing,Retail"
"Brennan Financial Service helps you to achieve financial independence through personalized investment, tax & mortgage planning strategies.","Financial Services,Real Estate Investment"
"rising systems is offering tailored IT solutions, managed IT services and leasing of IT experts for your inhouse IT.","Software,IT Management,Information Services"
Liberating Capital for Self-Directed Investment,Finance
Turquoise Trading is the European multilateral trading facility majority owned by London Stock Exchange Group.,"Finance,Financial Services,Trading Platform"
Automating Trash Pickup Schedules,"Fleet Management,Hardware,Information Technology,Logistics,Machine Learning,Waste Management"
"Onvego is a vibrant young company, with a goal to make speech and multimodality the leading interfaces of smart mobile apps.","Artificial Intelligence,Information Services,Information Technology"
Solid Signal is specialized in distributing in high-tech digital audio and video equipment for media installers.,"Audio,Consumer Electronics,Electronics"
"Connect every student and professional with the mentors, advisers and network needed to realize their full potential.","Advice,Alumni,Education,Human Resources,Professional Networking"
"Enzo Life Sciences, Inc. engages in the development, manufacture, and marketing of products for medical and biological research","Biotechnology,Health Diagnostics"
Fast Trade is an Administrative Services.,"Packaging Services,Trade Shows,Virtual Workforce"
"Enercap Associates, LLC, a Boulder-based venture capital fund.",Venture Capital
Pick University is a search engine that specializes in information about colleges and universities throughout the nation.,Education
The fastest growing communications startup in the US,"Internet,Telecommunications"
"Gama Management and Clearing provides financing, discounting, clearing, and management of credit card vouchers.",Financial Services
"TerraWi is a cloud-based, converged identity and access management provider thatŒædevelops and deploys secure mobile access solutions.","Mobile,Security,Telecommunications"
Soeasy is a strategic consulting firm,"Content,Management Consulting,Video Editing"
Montagraph is a free platform to give you an easy way to make and share your photo montages (= montagraphs).,"Photography,Web Development,Web Hosting"
Prinstur is a platform that instantly matches users in need with idle 3D and 2D  print capacity from local printers via a simple mobile app.,"Location Based Services,Mobile Apps,Social Media"
"DisplaySearch provides market intelligence, analysis, and consulting services for the display industry.",Professional Services
Sanari Capital is a South African private investment company.,Financial Services
"Espace Graphique is a visual communication agency specializing in large format printing, digital cutting and signage solutions.","Digital Signage,Digital Marketing,Advertising,Graphic Design"
Charles Rutenberg Realty Tampa Bay is a real estate company.,Real Estate
Urban Enterprises is a marketing and advertising company offering marketing and event staffing services.,"Advertising,Marketing,Staffing Agency"
Maker Stories for Grocery Retail,"Advertising,Marketing"
Majorsec is a host intrusion prevent system (HIPS) provider.,Enterprise
Quotingly is the proposal software of your dreams.,"Information Technology,Software"
Zoecon is a company that makes insecticides for household use.,Internet
Bringing 3D printing into the classrooms of the visually impaired one model at a time.,Manufacturing
"Sharyn Gol JSC engages in the exploration, development, and production of coal in Mongolia.",Oil and Gas
Unlock the Leeds City Region's vast economic potential by enabling businesses and enterprise to thrive.,Government
Helps prevent dangerous situations by providing parents and caregivers with a digital set of eyes and ears,"Health Care,Software"
Better career opportunities.,Internet
Entrenarme is the platform and database for personal trainers and sports centers in the world.,"Fitness,Marketplace,Sports,Training,Wellness"
QuadPay gives you the freedom to buy now and pay over time. ,"FinTech,Payments"
"eCullet, a technology-based glass processing company, produces and markets glass cullet to glass container manufacturers.","Consumer,Manufacturing,Service Industry"
Iamstatic is an animation company located in Toronto.,"Art,Audiobooks,Animation"
igi CONSULT is a private engineering company for construction and environmental protection.,"Construction,Real Estate,Consulting"
"CPA-FRANCE based in Marmande (Lot et Garonne), specializes in the BtoB trade of bicycle accessories. ","Automotive,Wholesale"
AssetCo provision of management and resources to the fire and rescue emergency services in international markets.,"Homeland Security,Security"
Bitcore (BTX) is an open-source cryptocurrency,"Blockchain,Cryptocurrency"
Dow Global Technologies LLC manufactures chemicals such as polymers.,"Chemical,Manufacturing"
Interface Systems Group is a software company provides hospitality and travel solutions.,"Hospitality,Software"
"Customer support business, Web marketing business.","Affiliate Marketing,Content Marketing,Marketing Automation"
Luxury travel and Lifestyle programming,"E-Commerce,Travel,Video,Video on Demand"
CardGenY is a London based Fintech group that has developed a class leading digital transformation toolkit for Banks.,Information Technology
Banco BBM is a provider of private and corporate credit banking solutions.,Banking
Consolidated Financial Corp. operates as an insurance agency.,Insurance
Convert Wire matches real estate agents with homeowners who have stated they are looking to buy or sell a home within a specific timeframe.,"Lead Generation,Real Estate"
OpenBidPHP is an online auction software.,"Online Auctions,Software"
My Animation Studio is your one stop animation destination.,"Advertising,Animation,Graphic Design,Health Care,Information Technology,Video"
PCS Consulting provides industry leading profitability and cost management implementation services.,Management Consulting
"DWB Associates, a software-consulting firm","Consulting,Information Technology,Software"
20 Exceptional People. 1 Month Trips Abroad. 12 Trips Per Year.,"E-Commerce,Travel"
"Descalza is a handcrafted, made to measure, clothing brand .",Fashion
Laser Process offers automotive and architectural cutting services to its clients.,Manufacturing
Mitiska Net Fund Europe is a European Internet venture capital fund.,
Avanti Resources provider of new and refurbished I.T. products.,"Information Services,Information Technology,IT Management"
We build cool tech to change the way online commerce works.,"Communities,E-Commerce,Internet"
"Total Gabon specializes in the research, extraction, and production of crude oil.",Oil and Gas
"Builds software tools that allow you to graphically create and edit business rules, tying together information from different systems.",Software
At Glitz Design we are jewelry experts led by individuals related to the industry for many decades.,"3D Printing,Electronics,Fashion,Manufacturing"
advocaatzoeken.nl is the online platform for lawyers and clients. ,"Artificial Intelligence,Law Enforcement,Legal"
Maven Technologies is an intelligent CRM for the direct sales industry.,"E-Commerce,Mobile,SaaS"
"Medical Centre, Alternative Medical Practitioner, Massage Therapist","Fitness,Health Care,Medical"
One of North America's oldest yet most innovative online bicycle retailers. Delivering ''the exact bike you want'',"Automotive,Transportation"
Wow! Events is a premierŒæevent planningŒæcompany specializing in planning and managing corporate and life events in Southern California.,Events
Kura Electronics and Electricals is an online battery and electronic pieces distributor.,"Hardware,Software"
Nimbus TI builds web and mobile applications powered by cloud computing and artificial intelligence technologies.,"Artificial Intelligence,Cloud Computing,Information Technology,Web Apps"
Lost River Property Management provides property management for vacation rental properties and non-rental vacation homes.,Property Development
WIT France based in Bordeaux was created in 2007 by wine professionals around a technological innovation: the FLACONWITŒ¬.,Wine And Spirits
KSK is a company that continues to provide new value to customers,"Business Information Systems,Information Technology,Staffing Agency"
Startup Group is an investment channel in crowdfunding model that enables entrepreneurs to raise funds for their projects.,"Crowdfunding,Information Technology"
Innovating new technologies that save people time and money has long been their passion.,"Marketing,Real Estate,Software"
"Workstars capture positive energy, celebrate shared values and reward great people.","Employee Benefits,Human Resources"
Energi & Miljí_teknik i Gí_teborg is a knowledge and contracting company.,"Industrial,Energy Efficiency"
"Exelixis works on discovering, developing, and commercializing therapies for the treatment of cancer.","Biotechnology,Health Care,Pharmaceutical"
ARVI SA is one of the world's largest trader of fine and rare wines.,Wine And Spirits
Dineamics POS is 100% fully integrated from the front-of-the-house to the back-of-the-house.,"E-Commerce,Internet"
Sendit is a premier customer experience based travel and event company. Providing you with the most legendary trips possible.,"Leisure,Travel"
Educloud is a new media platform helps K-12 teachers and professionals in the education industry. ( News & Social & Cloud Service ),"Cloud Data Services,Education,Primary Education"
The social learning game that follows countries and world leaders as they compete for news headlines and development goals.,"Education,Gaming,News,Publishing,Video Games"
"Vishal Enterprises is an apparel and fashion company that sells apparel, accessories and textiles.","Fashion,Lifestyle,Retail"
"Street Entrepreneurs is an inclusive, community-driven accelerator.","Non Profit,Professional Services,Training"
Quest Nutrition makes healthy eating fun!,"E-Commerce,Food and Beverage,Health Care,Nutrition"
Weltenmacher provides virtual and augmented reality solutions.,Virtual Reality
"Transwestern is a privately held real estate firm specializing in agency leasing, property and facilities management, tenant advisory.","Commercial Real Estate,Insurance,Property Management,Real Estate"
Welltwigs is a mobile platform that uses combination of hardware sensors and algorithm to pinpoint a woman's fertile time and helps her get,"Apps,mHealth"
Fempreneur is a startup online magazine for female entrepreneurs.,"Communities,Internet,Publishing,Social Media"
Beas group develops and provides software for supply chain management. ,Software
Bugcrowd harnesses the power of a global community of security researchers to surface critical software vulnerabilities.,"Crowdsourcing,Cyber Security,Penetration Testing,Security"
Clarity is a staffing and recruiting company that provides temporary and permanent staffing solutions.,"B2B,Delivery,Human Resources,Information Technology,Small and Medium Businesses"
Octopus is an mobile app used for testing and quizzing practice.,"Advertising,Consulting,E-Commerce,Internet,Mobile,Search Engine,Semantic Search,Software"
NEON-Henning Lichtwerbung is an advertising systems are the mirror image of your company.,"Mobile Advertising,Local Advertising,Advertising,Advertising Platforms"
Aiko is challenging traditional technology through the integration of artificial intelligence. View our products: https://helloaiko.com,"Artificial Intelligence,Information Technology,Messaging,Natural Language Processing,Virtual Assistant"
Shiny Development is a developing company of mobile applications. It specializes in creating compelling and innovative iOS apps for the,News
Evan Guthrie Law Firm is a Legal company.,"Legal,Real Estate"
Ditch those expensive multi-blades razors. Bringing back one blade shaving to the masses.,"Beauty,Subscription Service"
Boydäó»s Coffee is one of the oldest family-owned coffee companies.,"E-Commerce,Food and Beverage,Hospitality,Retail"
Business Cards Management and CRM,Information Technology
Edelweiss Insurance Brokers is an insurance broking and risk management company.,"Insurance,Risk Management"
RimRock Holdings,Agriculture
RecyclePoints is waste recycling and social benefit project in Nigeria.,"E-Commerce,Renewable Energy,Waste Management"
NCE Computer Group is an independent providers of data center maintenance and IT enterprise services and solutions.,"Computer,Customer Service,Information Technology,Security,Supply Chain Management,Technical Support"
Beck & Friends GmbH is a digital entertainment company specializing in the creation of screen and projection content.,"Social Media,Digital Entertainment,Animation"
"World Choice Securities is a fully disclosed independent securities broker dealer, insurance agency and a registered Investment advisor.","Finance,Insurance,Banking"
Click the link below to be redirected to the markets as your platform.,"Fashion,Social Network"
Stellar App puts the user in a space adventure and describe Science behind it.,"EdTech,Education,Virtual Reality"
Almax Analytics is a news analytics system that functions like a human.,"Analytics,Computer Vision,Local Business,Software"
Mobile App,"Freelance,Human Resources,Information Technology,Mobile Apps"
Creative Group is an entertainment company providing teleproduction services.,Advertising
Alescent is an applied research and advisory services leader.,"Product Research,Supply Chain Management,Information Technology"
"Indigo Infra is designs, builds, finances, and operates custom car park solutions.","Commercial,Railroad,Transportation"
Financial Control Systems is a provider of financial services to the pension industry.,Financial Services
Spectra Test Equipment is a company providing selling and renting high quality reconditioned electronic test equipment.,"Consumer Electronics,Electric Vehicle,Electronics"
"Flaviar, a spirits tasting club, offers a subscription service that helps members discover new liquor products through sample tasting packs.","Consumer Goods,E-Commerce,Hospitality,Wine And Spirits"
"Moobeat is a musical instrument that helps individuals improve their mental, physical, and sensory rehabilitation.","Health Care,Medical,Social Media,Software"
Barnes Group - North American distribution business offering vendor-managed inventory services.,Aerospace
Universidad Marista A.C. is an educational institution.,"Education,Higher Education"
"The Mccart Group Inc., an insurance broker, provides insurance and risk management services in the United States and internationally.",Insurance
"Nation's top liberal arts college of engineering, science, and mathematics",
Dassault Dí©veloppement's mission is to find the best entrepreneurial teams in the fastest growing sectors of the economy .,"Consulting,Information Technology"
"TOPAnnonces.fr is a site of free classifieds of private, individuals and professionals.","Advertising,Internet"
DING 3000 is a studio for product design.,"Consulting,Consumer Goods,E-Commerce,Manufacturing,Product Design"
EB Exchange Funds creates partnerships that enable entrepreneurs to pool their pre-IPO stock.,
American Insulated Glass is a glass wholesale company that sells only to glass glazers.,"Consumer Goods,Manufacturing,Wholesale"
Education and Career Development,Education
The Breslow Center for Plastic Surgery & Med Spa is a medical practice that specializes in plastic surgery.,"Health Care,Medical"
"COMDOC is a business supplies company that provides printers, copiers, and scanners.","Hardware,Information Technology,Manufacturing,Virtual Reality"
SBclick is a local mobile marketing company provides mobile app.,Mobile
UWI School of Business and Applied Studies is a private tertiary-level institution in technology studies & corporate training.,"Higher Education,Education,E-Learning"
Schneider Intercom is a privately held company that operates as a communication and security systems provider in Germany.,"Cyber Security,Information Technology,Security,Telecommunications"
Pacific Edge Software is a leading provider of IT governance solutions that are practical to adopt and deliver fast time to value.,"Delivery,Enterprise Software,Information Technology,Software"
Conjecture is a privately held corporation that designs and develops consumer-oriented websites.,"Internet,Product Design"
Chongqing Department Store is a retail company.,"E-Commerce,Retail"
